Feature,Cramers_V,Chi2,P_Value,Significant,Strength
HadAngina,0.7025162534343907,217511.59363514578,0.0,Yes,Very Strong
HadHeartAttack,0.6751833841969831,201526.2336790492,0.0,Yes,Very Strong
HadStroke,0.5845713770894958,151580.0879707277,0.0,Yes,Strong
AgeCategory,0.27203703557318576,32269.731063305117,0.0,Yes,Moderate
GeneralHealth,0.2702737845625396,32428.45470543154,0.0,Yes,Moderate
DifficultyWalking,0.23993152616407765,24242.672837634975,0.0,Yes,Moderate
HadDiabetes,0.19348813757737682,16624.00546079613,0.0,Yes,Weak
HadArthritis,0.18738820286740154,15538.059704600864,0.0,Yes,Weak
HadCOPD,0.18544263195405022,15231.321757130176,0.0,Yes,Weak
HadKidneyDisease,0.15760953111582512,11009.57578170326,0.0,Yes,Weak
DifficultyErrands,0.14734408542074792,9106.941207097756,0.0,Yes,Weak
DifficultyDressingBathing,0.13130614618350833,7262.330357736354,0.0,Yes,Weak
SmokerStatus,0.11911471381361417,5812.527025263198,0.0,Yes,Weak
PhysicalActivities,0.11536293528947168,5909.5404720063625,0.0,Yes,Weak
LastCheckupTime,0.10526717135020676,4840.52422088417,0.0,Yes,Weak
AlcoholDrinkers,0.09994142029868047,3980.9118859645205,0.0,Yes,Negligible
DifficultyConcentrating,0.08700216512703329,3185.8901135016768,0.0,Yes,Negligible
Sex,0.055402614627039624,1366.3102872043496,4.3988480697875735e-299,Yes,Negligible
RaceEthnicityCategory,0.053146112580377304,1217.5753389132265,2.4663411128168222e-262,Yes,Negligible
HadDepressiveDisorder,0.05001355173287229,1106.3995014802379,1.3427442230798842e-242,Yes,Negligible
HadAsthma,0.04747002083491598,999.0664466170656,2.865410490897125e-219,Yes,Negligible
